#SampleID	faith_pd
16S0064C	43.8663727891878
16S0064W	80.56366616600914
16S0073C	20.47903239625795
16S0073O	23.61689279980632
16S0073W	75.68705189018527
16S0074C	12.16455437065169
16S0074O	27.40617742906458
16S0084C	14.68649005323123
16S0084W	34.11569635169281
16S0087C	14.27776990132756
16S0087O	17.53561436114395
16S0088C	27.71732521721954
16S0088O	22.33833857647545
16S0089C	17.54240222788045
16S0089O	27.52362021954134
16S0090C	23.5157812382261
16S0090O	37.01750152923267
16S0092C	17.99292296127215
16S0093C	32.37260782396243
16S0093O	45.39451980991502
16S0093W	59.58400507201898
16S0094C	30.08814343693478
16S0113O	52.84423364428353
16S0117C	9.500720317500127
16S0117O	36.19829723857949
16S0117W	30.6151971418512
16S0118C	30.95975643839853
16S0119O	66.36841828455752
16S0119W	29.57829934323736
16S0120C	24.95754301529452
16S0120O	42.10967077980075
16S0120W	26.78387955139082
16S0123C	34.08557615451165
16S0123O	43.75692853207293
16S0123W	23.7644636039158
16S0141C	12.04356544673329
16S0141O	58.29090773884943
16S0142C	37.64526662383773
16S0142O	26.93781107210973
16S0143C	23.81335075453037
16S0143O	27.99431501920018
16S0146C	14.07465387238187
16S0146O	23.44233451010284
TB159	53.24531728794399
TB167	49.18331926226841
TB175	45.7480393129437
TB215	108.5846350653348
TB217	36.08070412127412
TB219	45.19570694109407
TB115	98.31838610932432
TB117	45.57216918496444
TB119	31.82431568894038
TB139	78.18825729380458
TB145	31.93473055818048
TB149	41.10610489647609
TB151	54.14978518505562
TB155	73.41835269988817
TB157	28.08056941104656
