index,k__Fungi;p__Ascomycota;c__Sordariomycetes,k__Fungi;p__unidentified;c__unidentified,k__Fungi;p__Basidiomycota;c__Agaricomycetes,k__Fungi;p__Ascomycota;c__Pezizomycetes,k__Fungi;p__Basidiomycota;c__Tremellomycetes,k__Fungi;__;__,k__Fungi;p__Ascomycota;c__Leotiomycetes,k__Fungi;p__Ascomycota;c__Dothideomycetes,k__Fungi;p__Glomeromycota;c__Glomeromycetes,k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Eurotiomycetes,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes,k__Fungi;p__Ascomycota;c__Saccharomycetes,k__Fungi;p__Ascomycota;__,k__Fungi;p__Basidiomycota;c__Malasseziomycetes,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes,k__Fungi;p__Basidiomycota;c__Microbotryomycetes,k__Fungi;p__Ascomycota;c__GS35,k__Fungi;p__Basidiomycota;__,k__Fungi;p__Chytridiomycota;c__Spizellomycetes,k__Fungi;p__Chytridiomycota;__,k__Fungi;p__Basidiomycota;c__Geminibasidiomycetes,k__Fungi;p__Ascomycota;c__Orbiliomycetes,k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__GS37,k__Fungi;p__Ascomycota;c__Lecanoromycetes,k__Fungi;p__Ascomycota;c__unidentified,k__Fungi;p__Mucoromycota;c__Mucoromycetes,k__Fungi;p__Chytridiomycota;c__unidentified,k__Fungi;p__Blastocladiomycota;c__unidentified,k__Fungi;p__Basidiomycota;c__Exobasidiomycetes,k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes,k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes,k__Fungi;p__Kickxellomycota;c__GS19,k__Fungi;p__Basidiomycota;c__Spiculogloeomycetes,k__Fungi;p__Chytridiomycota;c__Rhizophlyctidomycetes,k__Fungi;p__Glomeromycota;c__Archaeosporomycetes,k__Fungi;p__Ascomycota;c__Laboulbeniomycetes,k__Fungi;p__Rozellomycota;c__unidentified,k__Fungi;p__Glomeromycota;c__Paraglomeromycetes,k__Fungi;p__Basidiomycota;c__Wallemiomycetes,k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes,k__Fungi;p__Glomeromycota;c__unidentified,k__Fungi;p__Monoblepharomycota;c__Monoblepharidomycetes,k__Fungi;p__Chytridiomycota;c__Chytridiomycetes,k__Fungi;p__Chytridiomycota;c__Cladochytriomycetes,k__Fungi;p__Aphelidiomycota;c__Aphelidiomycetes,k__Fungi;p__Basidiomycota;c__Pucciniomycetes,k__Fungi;p__Chytridiomycota;c__Lobulomycetes,k__Fungi;p__Basidiomycota;c__unidentified,k__Fungi;p__Basidiomycota;c__Dacrymycetes,k__Fungi;p__Basidiobolomycota;c__unidentified,k__Fungi;p__Basidiomycota;c__GS27,k__Fungi;p__Monoblepharomycota;c__Sanchytriomycetes,k__Fungi;p__Basidiobolomycota;c__Basidiobolomycetes,k__Fungi;p__Olpidiomycota;c__GS17,k__Fungi;p__Glomeromycota;__,k__Fungi;p__Olpidiomycota;c__Olpidiomycetes,k__Fungi;p__Mucoromycota;c__Mucoromycotina_cls_Incertae_sedis,k__Fungi;p__Mucoromycota;c__Endogonomycetes,k__Fungi;p__Ascomycota;c__Taphrinomycetes,k__Fungi;p__Ascomycota;c__Lichinomycetes,k__Fungi;p__Basidiomycota;c__Ustilaginomycetes,k__Fungi;p__Zoopagomycota;c__Zoopagomycetes,k__Fungi;p__Zoopagomycota;c__unidentified,k__Fungi;p__Basidiomycota;c__Tritirachiomycetes,TBSampleID,TurtleID,TurtleName,TurtleSex,AgeRange,EstimatedAge,SCL,CCL,CCW,TurtleHealth,DaysPriorSampling,TimePriorSampling,Locality,LocalitySpecified,LocalityGeo,SamplingMoNo,SamplingMoYeNo,SamplingMonth,SamplingSeason,SamplingYear,SampleSite,SampleType
ITS0090C,33439.0,70.0,31946.0,4077.0,1548.0,2791.0,7487.0,8248.0,15623.0,5.0,312.0,253.0,148.0,736.0,97.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,381.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SC0090,ID071,COSMYN,ND,JUVENILE,ND,58.7,65.2,60.5,HEALTHY,0,0 DAYS,IT,"Margherita di Savoia, IT","41.3740° N, 16.1512° E",10,2019-10,OCTOBER,AUTUMN,2019,CLOACA,BEFORE
ITS0092C,14477.0,1946.0,15125.0,2778.0,3704.0,3044.0,11659.0,6163.0,2825.0,333.0,3266.0,2789.0,1069.0,1320.0,222.0,355.0,1028.0,157.0,279.0,634.0,84.0,0.0,157.0,158.0,0.0,0.0,0.0,349.0,336.0,0.0,0.0,409.0,374.0,80.0,212.0,0.0,0.0,169.0,135.0,40.0,0.0,129.0,0.0,0.0,0.0,0.0,101.0,0.0,103.0,0.0,141.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SC0092,ID057,ANGELO,MALE,ADULT,35-40,58.3,77,71.6,MILD,1,1 DAY,IT,"Maratea, IT","39.9985° N, 15.7185° E",6,2019-06,JUNE,SUMMER,2019,CLOACA,DURING
ITS0093C,7572.0,1537.0,6273.0,891.0,1322.0,2236.0,3870.0,4335.0,1419.0,230.0,2005.0,1654.0,394.0,593.0,125.0,53.0,93.0,175.0,26.0,75.0,0.0,60.0,61.0,136.0,0.0,200.0,0.0,0.0,281.0,0.0,0.0,295.0,0.0,37.0,0.0,0.0,0.0,62.0,166.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SC0093,ID073,MARVIN,ND,JUVENILE,02.Mar,ND,32.2,ND,SICK,10,10 DAYS,CRO,PREMANTURA,"44.8031° N, 13.9127° E",11,2019-11,NOVEMBER,AUTUMN,2019,CLOACA,DURING
ITS0093W,9761.0,2812.0,9440.0,1083.0,2154.0,2426.0,5606.0,4426.0,1384.0,894.0,1960.0,1967.0,47.0,1118.0,337.0,67.0,97.0,0.0,189.0,55.0,0.0,45.0,0.0,207.0,0.0,0.0,0.0,193.0,38.0,0.0,0.0,372.0,0.0,0.0,0.0,0.0,74.0,0.0,128.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,FW0093,ID073,MARVIN,ND,JUVENILE,02.Mar,ND,32.2,ND,SICK,10,10 DAYS,CRO,PREMANTURA,"44.8031° N, 13.9127° E",11,2019-11,NOVEMBER,AUTUMN,2019,WATER,DURING
ITS0094C,2461.0,819.0,624.0,0.0,0.0,22.0,0.0,966.0,186.0,19872.0,0.0,291.0,1072.0,0.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SC0094,ID074,RYAN,ND,JUVENILE,2,ND,ND,ND,MILD,2,2 DAYS,CRO,"Ližnjan, uvala Lakošaše","44.8164° N, 13.9930° E",11,2019-11,NOVEMBER,AUTUMN,2019,CLOACA,DURING
ITS0113C,45424.0,446.0,26667.0,6197.0,2942.0,6807.0,9684.0,8947.0,14144.0,1471.0,1145.0,1199.0,279.0,2639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SC0113,ID093,ELLA-RAVKA,ND,SUB-ADULT,20,60,62,58,MILD,0,0 DAYS,CRO,Zadar harbour /Jazine bay,"44.1194° N, 15.2314° E",6,2020-06,JUNE,SUMMER,2020,CLOACA,BEFORE
ITS0117C,10563.0,1507.0,11219.0,425.0,1722.0,1559.0,5941.0,4572.0,1438.0,245.0,3149.0,2056.0,143.0,286.0,464.0,0.0,156.0,283.0,0.0,59.0,145.0,220.0,125.0,609.0,63.0,85.0,0.0,45.0,0.0,0.0,0.0,218.0,0.0,0.0,132.0,0.0,0.0,0.0,97.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SC0117,ID096,MARO,FEMALE,SUB-ADULT,15-20,65,67,63.2,SICK,30,1 MONTH,CRO,KORČULA BAY,"42.9625° N, 17.1333° E",7,2020-07,JULY,SUMMER,2020,CLOACA,DURING
ITS0117W,2121.0,627.0,1929.0,315.0,454.0,854.0,1599.0,833.0,353.0,1163.0,403.0,394.0,52.0,170.0,21.0,13.0,61.0,0.0,17.0,5.0,6.0,49.0,17.0,0.0,11.0,0.0,0.0,13.0,11.0,0.0,0.0,45.0,0.0,18.0,21.0,11.0,24.0,0.0,48.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,WF0117,ID096,MARO,FEMALE,SUB-ADULT,15-20,65,67,63.2,SICK,30,1 MONTH,CRO,KORČULA BAY,"42.9625° N, 17.1333° E",7,2020-07,JULY,SUMMER,2020,WATER,DURING
ITS0118C,1643.0,27.0,383.0,136.0,0.0,1152.0,282.0,541.0,0.0,6754.0,0.0,0.0,1149.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SC0118,ID096,MARO,FEMALE,SUB-ADULT,15-20,65,67,63.2,SICK,60,2 MONTHS,CRO,KORČULA BAY,"42.9625° N, 17.1333° E",7,2020-07,JULY,SUMMER,2020,CLOACA,DURING
ITS0118W,8968.0,2163.0,11009.0,1080.0,1827.0,6232.0,5432.0,4893.0,1324.0,3721.0,2178.0,2815.0,1204.0,1062.0,235.0,0.0,201.0,275.0,275.0,123.0,0.0,0.0,0.0,111.0,161.0,82.0,0.0,39.0,55.0,0.0,116.0,224.0,183.0,34.0,65.0,0.0,0.0,71.0,212.0,0.0,0.0,69.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WF0118,ID096,MARO,FEMALE,SUB-ADULT,15-20,65,67,63.2,SICK,60,2 MONTHS,CRO,KORČULA BAY,"42.9625° N, 17.1333° E",7,2020-07,JULY,SUMMER,2020,WATER,DURING
