index,k__Fungi;p__Ascomycota;c__Sordariomycetes,k__Fungi;p__unidentified;c__unidentified,k__Fungi;p__Basidiomycota;c__Agaricomycetes,k__Fungi;p__Ascomycota;c__Pezizomycetes,k__Fungi;p__Basidiomycota;c__Tremellomycetes,k__Fungi;__;__,k__Fungi;p__Ascomycota;c__Leotiomycetes,k__Fungi;p__Ascomycota;c__Dothideomycetes,k__Fungi;p__Glomeromycota;c__Glomeromycetes,k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__Eurotiomycetes,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes,k__Fungi;p__Ascomycota;c__Saccharomycetes,k__Fungi;p__Ascomycota;__,k__Fungi;p__Basidiomycota;c__Malasseziomycetes,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes,k__Fungi;p__Basidiomycota;c__Microbotryomycetes,k__Fungi;p__Ascomycota;c__GS35,k__Fungi;p__Basidiomycota;__,k__Fungi;p__Chytridiomycota;c__Spizellomycetes,k__Fungi;p__Chytridiomycota;__,k__Fungi;p__Basidiomycota;c__Geminibasidiomycetes,k__Fungi;p__Ascomycota;c__Orbiliomycetes,k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis,k__Fungi;p__Ascomycota;c__GS37,k__Fungi;p__Ascomycota;c__Lecanoromycetes,k__Fungi;p__Ascomycota;c__unidentified,k__Fungi;p__Mucoromycota;c__Mucoromycetes,k__Fungi;p__Chytridiomycota;c__unidentified,k__Fungi;p__Blastocladiomycota;c__unidentified,k__Fungi;p__Basidiomycota;c__Exobasidiomycetes,k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes,k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes,k__Fungi;p__Kickxellomycota;c__GS19,k__Fungi;p__Basidiomycota;c__Spiculogloeomycetes,k__Fungi;p__Chytridiomycota;c__Rhizophlyctidomycetes,k__Fungi;p__Glomeromycota;c__Archaeosporomycetes,k__Fungi;p__Ascomycota;c__Laboulbeniomycetes,k__Fungi;p__Rozellomycota;c__unidentified,k__Fungi;p__Glomeromycota;c__Paraglomeromycetes,k__Fungi;p__Basidiomycota;c__Wallemiomycetes,k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes,k__Fungi;p__Glomeromycota;c__unidentified,k__Fungi;p__Monoblepharomycota;c__Monoblepharidomycetes,k__Fungi;p__Chytridiomycota;c__Chytridiomycetes,k__Fungi;p__Chytridiomycota;c__Cladochytriomycetes,k__Fungi;p__Aphelidiomycota;c__Aphelidiomycetes,k__Fungi;p__Basidiomycota;c__Pucciniomycetes,k__Fungi;p__Chytridiomycota;c__Lobulomycetes,k__Fungi;p__Basidiomycota;c__unidentified,k__Fungi;p__Basidiomycota;c__Dacrymycetes,k__Fungi;p__Basidiobolomycota;c__unidentified,k__Fungi;p__Basidiomycota;c__GS27,k__Fungi;p__Monoblepharomycota;c__Sanchytriomycetes,k__Fungi;p__Basidiobolomycota;c__Basidiobolomycetes,k__Fungi;p__Olpidiomycota;c__GS17,k__Fungi;p__Glomeromycota;__,k__Fungi;p__Olpidiomycota;c__Olpidiomycetes,k__Fungi;p__Mucoromycota;c__Mucoromycotina_cls_Incertae_sedis,k__Fungi;p__Mucoromycota;c__Endogonomycetes,k__Fungi;p__Ascomycota;c__Taphrinomycetes,k__Fungi;p__Ascomycota;c__Lichinomycetes,k__Fungi;p__Basidiomycota;c__Ustilaginomycetes,k__Fungi;p__Zoopagomycota;c__Zoopagomycetes,k__Fungi;p__Zoopagomycota;c__unidentified,k__Fungi;p__Basidiomycota;c__Tritirachiomycetes,TBSampleID,TurtleID,TurtleName,TurtleSex,AgeRange,EstimatedAge,SCL,CCL,CCW,TurtleHealth,DaysPriorSampling,TimePriorSampling,Locality,LocalitySpecified,LocalityGeo,SamplingMoNo,SamplingMoYeNo,SamplingMonth,SamplingSeason,SamplingYear,SampleSite,SampleType
ITS0119C,20726.0,0.0,14662.0,1282.0,1223.0,1821.0,6575.0,2768.0,6265.0,159.0,212.0,0.0,171.0,795.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SC0119,ID093,ELLA-RAVKA,ND,SUB-ADULT,20,60,62,58,MILD,60,2 MONTHS,CRO,Zadar harbour /Jazine bay,"44.0931° N, 15.2586° E",8,2020-08,AUGUST,SUMMER,2020,CLOACA,DURING
ITS0119W,13995.0,1943.0,11388.0,1670.0,2495.0,2570.0,7803.0,3593.0,2273.0,2226.0,2322.0,2434.0,282.0,687.0,299.0,240.0,270.0,278.0,312.0,85.0,157.0,171.0,77.0,81.0,60.0,0.0,0.0,174.0,23.0,0.0,0.0,135.0,0.0,0.0,134.0,42.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WF0119,ID093,ELLA-RAVKA,ND,SUB-ADULT,20,60,62,58,MILD,60,2 MONTHS,CRO,Zadar harbour /Jazine bay,"44.0931° N, 15.2586° E",8,2020-08,AUGUST,SUMMER,2020,WATER,DURING
ITS0120C,34657.0,942.0,19169.0,3606.0,873.0,5051.0,5398.0,6105.0,15522.0,795.0,78.0,92.0,145.0,681.0,69.0,0.0,123.0,0.0,43.0,208.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,71.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SC0120,ID097,FREEWINGS,ND,JUVENILE,02.May,27.6,28.2,26,MILD,244,8 MONTHS,CRO,MARINA VERUDA,"44.8390° N, 13.8430° E",8,2020-08,AUGUST,SUMMER,2020,CLOACA,DURING
ITS0120W,20399.0,2632.0,29533.0,9213.0,1679.0,3487.0,7690.0,6433.0,59283.0,753.0,2340.0,2584.0,131.0,1482.0,203.0,0.0,82.0,209.0,175.0,46.0,17.0,22.0,234.0,138.0,0.0,0.0,0.0,226.0,66.0,0.0,0.0,107.0,40.0,16.0,50.0,0.0,240.0,0.0,0.0,418.0,0.0,0.0,207.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WF0120,ID097,FREEWINGS,ND,JUVENILE,02.May,27.6,28.2,26,MILD,244,8 MONTHS,CRO,MARINA VERUDA,"44.8390° N, 13.8430° E",8,2020-08,AUGUST,SUMMER,2020,WATER,DURING
ITS0123C,1861.0,2030.0,925.0,0.0,407.0,6454.0,0.0,2055.0,107.0,10578.0,114.0,0.0,0.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SC0123,ID098,MAKSIMUS,ND,JUVENILE,Oct.15,42.4,45.2,44.2,HEALTHY,30,1 MONTH,CRO,ISLAND PORER,"44.7580° N, 13.8909° E",8,2020-08,AUGUST,SUMMER,2020,CLOACA,DURING
ITS0123W,9185.0,11101.0,9546.0,1120.0,1717.0,5882.0,6612.0,8111.0,1233.0,3298.0,2045.0,2456.0,85.0,190.0,184.0,53.0,358.0,141.0,122.0,97.0,0.0,153.0,0.0,136.0,0.0,0.0,0.0,277.0,620.0,0.0,58.0,101.0,0.0,86.0,0.0,0.0,39.0,0.0,159.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,40.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WF0123,ID098,MAKSIMUS,ND,JUVENILE,Oct.15,42.4,45.2,44.2,HEALTHY,30,1 MONTH,CRO,ISLAND PORER,"44.7580° N, 13.8909° E",8,2020-08,AUGUST,SUMMER,2020,WATER,DURING
ITS0141C,5142.0,636.0,4393.0,611.0,1102.0,706.0,3418.0,4420.0,999.0,118.0,999.0,1284.0,213.0,357.0,27.0,19.0,52.0,0.0,198.0,45.0,0.0,31.0,0.0,122.0,0.0,0.0,0.0,92.0,26.0,0.0,0.0,166.0,88.0,30.0,0.0,0.0,0.0,72.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SC0141,ID117,KARLO ALBANO,MALE,ADULT,ND,79,73,73,HEALTHY,6,6 DAYS,CRO,okolica Telašćice,"43.8895° N, 15.1617° E",3,2020-03,MARCH,SPRING,2021,CLOACA,DURING
ITS0142C,170.0,80851.0,0.0,0.0,0.0,3701.0,0.0,2397.0,0.0,9237.0,742.0,0.0,1831.0,0.0,594.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SC0142,ID118,OLIVER RAUL,ND,JUVENILE,ND,25.6,26,24.2,MILD,3,3 DAYS,CRO,okolica Medulina,"44.8217° N, 13.9369° E",4,2020-04,APRIL,SPRING,2021,CLOACA,DURING
ITS0143C,68857.0,396.0,15897.0,1397.0,1162.0,5321.0,8263.0,10177.0,12631.0,723.0,292.0,989.0,294.0,1302.0,52.0,51.0,92.0,0.0,0.0,136.0,39.0,0.0,104.0,73.0,0.0,0.0,0.0,23.0,157.0,0.0,34.0,45.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,69.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,SC0143,ID119,MARTIN,ND,JUVENILE,ND,36.8,37.8,34.8,SICK,2,2 DAYS,CRO,"uvala Sv. Martin, istočna strana Malog Lošinja","44.5316° N, 14.4720° E",4,2020-04,APRIL,SPRING,2021,CLOACA,DURING
ITSNEGCTRL,12818.0,2049.0,12196.0,1724.0,1984.0,1775.0,5962.0,8118.0,561.0,166.0,3354.0,3104.0,438.0,1735.0,21.0,214.0,399.0,106.0,159.0,84.0,176.0,32.0,366.0,489.0,7.0,0.0,34.0,294.0,166.0,0.0,10.0,879.0,77.0,5.0,223.0,8.0,6.0,129.0,184.0,0.0,0.0,38.0,25.0,0.0,0.0,28.0,70.0,0.0,14.0,11.0,0.0,0.0,0.0,0.0,20.0,40.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,negctrl,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,NEGCTRL,ND
