taxon	W	p_val	q_val	diff_abn	(Intercept)	SampleSiteORAL	SampleSiteTANK WATER	global	CLOACA - ORAL	CLOACA - TANK WATER	ORAL - TANK WATER
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Aureispira	4.134880045520427	0.253018456530926	1	FALSE	0.028763264083202924	0.02320411400546858	0.01330636650423462	0.017764437024826954	0.023204114005468585	0.01330636650423464	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sedimentitalea	3.9160030411705673	0.2822804101035044	1	FALSE	0.07028305695233908	0.05368549102383418	0	0.04535274142870208	0.053685491023834166	0	0.012949459400606756
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Photobacterium	3.321053730461018	0.38007765773871666	1	FALSE	0.048018407327618515	0.1546138399810872	0.08154098944002687	0.228890901919849	0.1546138399810872	0.0815409894400269	0.3163967327387946
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__pItb-vmat-80;f__pItb-vmat-80;g__pItb-vmat-80	1.2737345180210031	0.9421062304426014	1	FALSE	0.34524987930220025	0.3221798052891236	0.25305201032995966	0.058872094401457596	0.32217980528912354	0.2530520103299597	0.5631574430225404
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae;g__Vicingus	11.589522172262981	0.0060869149280665105	1	FALSE	0	0	0	0	0	0	0.05723833330118899
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__uncultured	17.644140658455395	2.9488557781853563e-4	0.1548149283547312	FALSE	0.03044640465354711	0.03660152800843075	0	0	0.036601528008430737	0	0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Rhodopirellula	6.26857458252532	0.08706153506897114	1	FALSE	0.3865516290944282	0	0	0	0	0	0.06629928686265091
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__PB19;f__PB19;g__PB19	2.4706036107102447	0.5814940002466742	1	FALSE	0.1518524872834566	0.1304495453702937	0.09675211009151033	0.10299157045124363	0.13044954537029368	0.09675211009151032	0.0393811293245293
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio	0.22106671802231376	0.209287077029789	1	FALSE	0.0014386162340791961	0.002534390561703813	1.9967163122304715e-4	8.012267877903912e-4	0.0025343905617038046	1.9967163122304788e-4	9.090775837058564e-4
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelothrix	1.7884486207738282	0.8178493485423604	1	FALSE	0.21872560256966161	0.16159246311520578	0.12544055801543727	0.12372203393374295	0.16159246311520575	0.12544055801543724	0.015329984647078068
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Psychrobium	1.121932538081267	0.8586852224182463	1	FALSE	0.0543352859750729	0.07845276592514855	0.048378197431113754	0.024148233715934112	0.07845276592514855	0.04837819743111377	0.08869745100773412
