taxon	W	p_val	q_val	diff_abn	(Intercept)	SampleSiteORAL	SampleSiteTANK WATER	global	CLOACA - ORAL	CLOACA - TANK WATER	ORAL - TANK WATER
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__uncultured;s__uncultured_bacterium	17.46700197580455	3.221949350168477e-4	0.2345579126922651	FALSE	0.029664605695311562	0.026180661907943013	0	0	0.026180661907943045	0	0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Rhodopirellula;s__Rhodopirellula_baltica	1.0356412815728635	0.8083647306007229	1	FALSE	0.16315554788793737	0.3264238196620754	0.012632117172365252	0.31940441091863303	0.32642381966207545	0.012632117172365257	0.2789454527792445
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Campbellbacteria;f__Candidatus_Campbellbacteria;g__Candidatus_Campbellbacteria;__	3.6506821611827114	0.3223253305940388	1	FALSE	0.2512759362927815	0.17095487580698407	0	0.24143803593662547	0.17095487580698407	0	0.04335223634635352
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__PB19;f__PB19;g__PB19;s__uncultured_bacterium	1.7407658335244822	0.8375823127747647	1	FALSE	0.10829893363326343	0.1108828931461639	0.011903246922923211	0.005729592702745572	0.11088289314616388	0.011903246922923206	0.11050078864336499
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;__	0.3716938987534668	0.33919864280401657	1	FALSE	0.0014970946208690558	0.002552282336440517	7.939105391230498e-4	3.919985800849001e-4	0.0025522823364405186	7.93910539123033e-4	0.0029560558122703365
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Psychrobium;s__uncultured_bacterium	1.3200700891373045	0.9663335560460016	1	FALSE	0.05304484405950014	0.11084391454886111	0.048031505951897896	0.045537579340163926	0.11084391454886111	0.048031505951897896	0.1101587910485062
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Halarcobacter;__	3.4855748693402435	0.35006366042477305	1	FALSE	0.026811221837122624	0.163731067254315	0.0051794065313230464	0.1371135506619516	0.163731067254315	0.0051794065313230326	0.08706519482433564
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__37-13;g__37-13;s__uncultured_Bacteroidetes	3.044085239274334	0.43653119542359664	1	FALSE	0.26490183489363356	0	0.06359357500861887	0	0	0.06359357500861886	0.21451012657445864
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__dgA-11_gut_group;s__uncultured_bacterium	7.137218654126159	0.056390073005919694	1	FALSE	0.14326713891865472	0	0.03595263721588541	0.22007302879650192	0	0.035952637215885416	0.17867468003710982
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__gut_metagenome	6.131623558688326	0.09323196921453772	1	FALSE	0.1309753144894224	0	0.016550774542599143	0.12488421529927098	0	0.016550774542599185	0.047381316233975936
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__uncultured;g__uncultured;s__bacterium_episymbiont	1.535680607045225	0.9280282331899443	1	FALSE	0.10668692094652552	0.07436746966306736	0.07855511628994065	0.011650525907472504	0.07436746966306737	0.07855511628994064	0.08745618320874884
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__PS1_clade;g__PS1_clade;__	4.367862769962027	0.22519598658791717	1	FALSE	0.15679666280585325	0.06764825929922841	0	0	0.06764825929922841	0	0
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Kaiserbacteria;f__Candidatus_Kaiserbacteria;g__Candidatus_Kaiserbacteria;s__uncultured_organism	21.067302747039033	5.325045584405882e-5	0.03940533732460353	TRUE	0	0.28066269764054147	0	0	0.2806626976405415	0	0
d__Bacteria;p__Planctomycetota;c__OM190;o__OM190;f__OM190;g__OM190;s__uncultured_planctomycete	0.6153753169508918	0.5297102031364059	1	FALSE	0.13359913967463166	0.12175995323948428	0.0804767801422251	0.09613629840937583	0.12175995323948426	0.0804767801422251	0.004255792635524281
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Coxiellales;f__Coxiellaceae;g__Coxiella;s__uncultured_bacterium	39.2267044276355	6.068192614740684e-9	4.581485424129216e-6	TRUE	0	0.28494871742685685	0	0	0.28494871742685685	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus;__	1.7897604732781547	0.8173130755813204	1	FALSE	0.08939202436863244	0.06695731478623643	0.020800619259975017	0.0398007858700415	0.06695731478623644	0.020800619259975006	0.02333027760197288
d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Melioribacteraceae;g__IheB3-7;s__uncultured_bacterium	0.2749236479349058	0.25686475528806285	1	FALSE	0.29147103028852256	0.8435874860936948	0.009842921549767354	0.7817819211884373	0.8435874860936949	0.009842921549767354	0.5866621403809943
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;__	0.2664568102186797	0.24946969151406184	1	FALSE	0.006997084539293771	0.005648479330687512	0.017950435092983896	0.008239923165348691	0.0056484793306875065	0.017950435092983896	0.03446815860765894
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Coxiellales;f__Coxiellaceae;g__Coxiella;__	22.679417339792394	2.3782477466794635e-5	0.01764659828036162	TRUE	0	0.7232901137839339	0	0	0.7232901137839339	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured;s__uncultured_bacterium	3.1460061815054408	0.41484268197740753	1	FALSE	0.10616752247569235	0.01855257286006069	0.1013629696831788	0.09575388325638766	0.01855257286006069	0.1013629696831788	0.27602504258874216
d__Bacteria;p__Bacteroidota;c__Bacteroidia;__;__;__;__	1.712814269460135	0.849370362345835	1	FALSE	0.10346363679321267	0.0932510501839685	0.1322489291498544	0.12296518268357744	0.09325105018396848	0.1322489291498544	0.2198915514245952
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__;__	14.251810479838653	0.001608009726605915	1	FALSE	0.2964153849556395	0.22491014625431233	0	0	0.22491014625431235	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;__;__	2.34139936279492	0.6202997184865549	1	FALSE	0.04378224383085862	0.05760087324894306	0.03545963115607846	0.058290364694003706	0.057600873248943064	0.03545963115607834	0.1197492269803132
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella;s__uncultured_bacterium	6.204259715719815	0.08990671220295765	1	FALSE	0.18468371062885694	0	0.05150483263848025	0.16675373188355744	0	0.05150483263848023	0.0373693239045958
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__uncultured;s__uncultured_bacterium	11.800420183270116	0.005477738689560989	1	FALSE	0.2781702450541065	0.29774998114657886	0	0	0.29774998114657886	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae;__;__	5.787000532034055	0.11076404228458285	1	FALSE	0.16159629741487927	0.030585185953849837	0	0	0.030585185953849785	0	0.15233569485611356
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__Kiloniellaceae;g__Kiloniella;s__uncultured_bacterium	0.34181352830049117	0.3141996833587608	1	FALSE	0.19370400291463138	0.1585297422554133	0.09424629496278396	0.06178400044797805	0.1585297422554133	0.09424629496278396	0.032993470078920104
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured;s__uncultured_Sphingobacteriia	0.07550906131813315	0.0741014271821787	1	FALSE	0.12452831494088668	0.04579704750567867	0.026068085472372406	0.01458814560908704	0.04579704750567867	0.026068085472372406	0.00691248934994723
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas;__	2.2465335537842317	0.6504313008735664	1	FALSE	0.04184804502982355	0.09541962424202888	0.051153298752191385	0.0724114640882003	0.09541962424202885	0.05115329875219137	0.0034641941027428284
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__uncultured;s__uncultured_bacterium	3.6327063233842543	0.32523542277042483	1	FALSE	0.28513580274570377	0.2717919453944383	0	0.13921417411772033	0.2717919453944383	0	0.1520164035922469
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;__	9.720787573964698	0.015494864904642669	1	FALSE	0	0	0	0	0	0	0.08211889597152622
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;__	5.521790863897151	0.12647024050843278	1	FALSE	0.28512855472656984	0.24963497214393707	0.25178477940763644	0.2606700003648591	0.24963497214393707	0.25178477940763644	0.0262702120532218
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Halieaceae;__;__	7.174858317900257	0.05533874524796889	1	FALSE	0.1456423899712389	0.14161272569252314	0	0	0.14161272569252314	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__;__	0.4771960739311239	0.4245370846606218	1	FALSE	0.09407344395436468	0.05475389682327631	0.1520949757024846	0.07248048741567088	0.054753896823276305	0.15209497570248462	0.05287057386159376
d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__Kapabacteriales;g__Kapabacteriales;s__uncultured_bacterium	2.428702429500671	0.5938051556683694	1	FALSE	0.07761977579767575	0.07385926991293638	0.011636590592333443	0.08422187030307031	0.07385926991293637	0.011636590592333448	0.07806013397218983
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aurantivirga;__	3.101221032536956	0.4242368650666551	1	FALSE	0.0670605404284782	0.018295500926085388	0.02680259923369796	0.022704280135521383	0.01829550092608539	0.02680259923369791	0.03379398549215622
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__uncultured;f__uncultured;g__uncultured;s__uncultured_bacterium	6.6942355260238955	0.0703712427839956	1	FALSE	0.3455114347731065	0.3997267522775412	0	0	0.3997267522775412	0	0.7532700868173587
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured;__	0.9279988552360827	0.7424721712797675	1	FALSE	0.08826263224931123	0.010013148860663753	0.2155909641557423	0.10371983218930617	0.010013148860663755	0.2155909641557423	0.13527585258426722
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Marinomonadaceae;g__Marinomonas;s__uncultured_marine	30.801745281048195	4.097471970566586e-7	3.0772014498955057e-4	TRUE	0.15549423328070852	0.13733033744224618	0	0	0.13733033744224618	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Maritalea;s__Maritalea_sp.	3.301463716387705	0.38381881348299685	1	FALSE	0.2106490555069886	0	0.10367805509445258	0.18356306435513808	0	0.10367805509445259	0.031733411675612985
