taxon	lfc_(Intercept)	lfc_SampleSiteORAL	lfc_SampleSiteTANK WATER	se_(Intercept)	se_SampleSiteORAL	se_SampleSiteTANK WATER	W_(Intercept)	W_SampleSiteORAL	W_SampleSiteTANK WATER	p_(Intercept)	p_SampleSiteORAL	p_SampleSiteTANK WATER	q_(Intercept)	q_SampleSiteORAL	q_SampleSiteTANK WATER	diff_(Intercept)	diff_SampleSiteORAL	diff_SampleSiteTANK WATER	(Intercept)	SampleSiteORAL	SampleSiteTANK WATER	global	CLOACA - ORAL	CLOACA - TANK WATER	ORAL - TANK WATER
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;__;__	0.13504564854045084	0.32968347427124206	-0.6736096035859684	0.4176035820575926	0.6188439847862907	0.7747639188180813	0.3233823998229651	0.5327408561385528	-0.8694385311767927	0.7464056570000381	0.5942129800569584	0.384607315602979	1	1	1	FALSE	FALSE	FALSE	0.08571377154378369	0.2708755718852419	0.020163662301562996	0.27680487544159654	0.2708755718852419	0.02016366230156298	0.31228863619437486
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Gammaproteobacteria_Incertae_Sedis;f__Unknown_Family;g__uncultured;__	-0.19219344704775682	0.7032070110142705	0.3382534617145896	0.35928676250811137	0.5326229360549136	0.6678216984933962	-0.5349304987083063	1.3202717408733027	0.5065026525458642	0.592697917757881	0.18674430702293235	0.6125038280454572	1	1	1	FALSE	FALSE	FALSE	0.24949956507936247	0.35770368929704555	0.052858666470743276	0.3074499183713695	0.35770368929704555	0.0528586664707433	0.12357738582918622
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__uncultured_bacterium	0.9256861599971384	-1.954464706420629	-0.3550059912819209	0.46965495308270416	0.6958051119057703	0.8702381839359601	1.9709920100302427	-2.80892547780723	-0.4079411795932473	0.04872478973169556	0.004970715127979973	0.6833168592232977	1	1	1	FALSE	FALSE	FALSE	0.405816204930385	0	0.09550504998931178	0.37298594429328397	0	0.09550504998931178	0.011821900542709991
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;__;__	-0.017678457071488417	0.31867090863156966	0.16930759535754858	0.6270932952928439	0.928604809000747	1.1591258377922717	-0.02819111160044029	0.34317171905935423	0.14606489635328998	0.9775097263236738	0.7314692791634376	0.8838701578102202	1	1	1	FALSE	FALSE	FALSE	0.04586977281521203	0.028057760292514278	0.03272247366324669	0.013421571893957564	0.028057760292514278	0.032722473663246696	0.011594214057307399
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Tenacibaculum;s__uncultured_bacterium	1.2401891479053266	-0.6215060957186924	-4.711376772692308	0.5725733412349813	0.8479851277362728	1.0590698613830365	2.1659917753599345	-0.732920985746325	-4.448598666134955	0.030311815434448167	0.4636066227603708	8.6432343495966e-6	1	1	0.006413279887400677	FALSE	FALSE	TRUE	0	0.07489460918448645	0	0	0.07489460918448644	0	0
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__Peredibacter;s__uncultured_bacterium	-0.5748132430755336	1.1182128505673363	1.5648231862577582	0.4688702597393034	0.6946448705366854	0.8687987228269402	-1.2259537284261441	1.6097619056819645	1.8011343078015347	0.22021608820137642	0.10744984451857541	0.07168171342562903	1	1	1	FALSE	FALSE	FALSE	0.10400837320181053	0.07685445245923053	0	0	0.0768544524592305	0	0.15531902473200218
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__;__	-0.7293810957539963	1.7247240159639265	1.182603063611312	0.43897767297023677	0.6504464779587857	0.8139664373798933	-1.6615448590330681	2.651600207562674	1.452889221597437	0.09660406729354722	0.008011133696607308	0.14625451404524006	1	1	1	FALSE	FALSE	FALSE	0.09366179741465669	0	0.06623661448465608	0	0	0.06623661448465608	0.053321128123257
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Alcanivoracaceae1;g__Alcanivorax;__	-0.10830160585385595	0.23372887784727217	0.8262910816313697	0.303954434869824	0.45081678931061925	0.5663667224341661	-0.3563086878473703	0.5184564625569649	1.4589329649879226	0.7216094037620933	0.6041398290149349	0.14458355893997518	1	1	1	FALSE	FALSE	FALSE	0.22261102792909443	0.23855076026868144	0.07457281478121254	0.10066477284987375	0.23855076026868144	0.07457281478121258	0.14767890883757737
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Aureispira;__	0.0028622526602457166	0.7937356464636482	-0.8912281951146789	0.50780394989822	0.7522127603171598	0.9402249213473238	0.005636530910835575	1.0552009861265594	-0.9478882923434601	0.9955027228232117	0.29133341325946677	0.34318632572938945	1	1	1	FALSE	FALSE	FALSE	0.051244578624315355	0.07827866184814838	0.012997957528431485	0.09738209173432741	0.07827866184814836	0.012997957528431501	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae;g__Vicingus;s__uncultured_Bacteroidetes	-0.0774500071507909	0.22894636779090968	0.6700287587151199	0.3111117499985923	0.46139856996818684	0.5794903483334294	-0.2489459403289697	0.49620086123521234	1.156237995407641	0.8034025984297138	0.6197527034381116	0.24758382239330243	1	1	1	FALSE	FALSE	FALSE	0.12374456419659564	0.1229666269115157	0.15938635786330207	0.08360224267005306	0.1229666269115157	0.15938635786330207	0.20832479432306805
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__uncultured;s__uncultured_bacterium	0.7194821796941814	0.715637099000887	-4.586863207996559	0.680516669752176	1.007605009969176	1.2571822352476512	1.0572587148470523	0.7102357490489049	-3.648526903574164	0.29039352968572557	0.47755795558115127	2.6374828697166725e-4	1	1	0.1885800251847421	FALSE	FALSE	FALSE	0.029664605695311562	0.026180661907943013	0	0	0.026180661907943045	0	0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Rhodopirellula;s__Rhodopirellula_baltica	0.008451821484464463	0.4044011981943098	-0.1426032310061779	0.30253441584534285	0.44871734454903667	0.5637629290258088	0.027936727333478243	0.9012381694332212	-0.2529489323687858	0.9777126156903474	0.36746170061233036	0.8003076761158718	1	1	1	FALSE	FALSE	FALSE	0.16315554788793737	0.3264238196620754	0.012632117172365252	0.31940441091863303	0.32642381966207545	0.012632117172365257	0.2789454527792445
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Campbellbacteria;f__Candidatus_Campbellbacteria;g__Candidatus_Campbellbacteria;__	-0.3290600024905105	0.6861594617313912	1.1080062957851493	0.3534772184030449	0.524033760005485	0.6571692903076666	-0.9309228016932813	1.3093802615392742	1.686028717602453	0.35189349870725384	0.1904055742109345	0.0917902682041267	1	1	1	FALSE	FALSE	FALSE	0.2512759362927815	0.17095487580698407	0	0.24143803593662547	0.17095487580698407	0	0.04335223634635352
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__PB19;f__PB19;g__PB19;s__uncultured_bacterium	-0.22730710621497552	0.29442119293064073	1.34456101590565	0.5513868639961539	0.8166569462816017	1.0201922089622626	-0.41224613979298763	0.36052003753987255	1.317948719950856	0.6801590216128152	0.7184582748797806	0.18752081479616978	1	1	1	FALSE	FALSE	FALSE	0.10829893363326343	0.1108828931461639	0.011903246922923211	0.005729592702745572	0.11088289314616388	0.011903246922923206	0.11050078864336499
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;__	-0.04146925713348435	0.17975879524765032	0.575007372458615	0.5112005776923678	0.7572351395001286	0.9464567303668399	-0.08112130334570919	0.23738834329098088	0.6075368836309571	0.9353454839000405	0.8123555320218785	0.5434946729001431	1	1	1	FALSE	FALSE	FALSE	0.0014970946208690558	0.002552282336440517	7.939105391230498e-4	3.919985800849001e-4	0.0025522823364405186	7.93910539123033e-4	0.0029560558122703365
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Psychrobium;s__uncultured_bacterium	0.08480750542548261	-0.2924630909840315	0.8407135461675315	0.5017611209176231	0.7432776406256466	0.9291383032617035	0.16901968265374215	-0.3934775849544641	0.9048314370597355	0.865781159613501	0.693966776276474	0.3655546943489394	1	1	1	FALSE	FALSE	FALSE	0.05304484405950014	0.11084391454886111	0.048031505951897896	0.045537579340163926	0.11084391454886111	0.048031505951897896	0.1101587910485062
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Halarcobacter;__	-0.6811160991526143	1.8018477133682813	0.7689313120701766	0.6518405806634943	0.9651998058046436	1.204547011837827	-1.0449120833491543	1.8668131743625478	0.6383572450999537	0.2960636045851	0.06192768208400246	0.5232411557815022	1	1	1	FALSE	FALSE	FALSE	0.026811221837122624	0.163731067254315	0.0051794065313230464	0.1371135506619516	0.163731067254315	0.0051794065313230326	0.08706519482433564
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__37-13;g__37-13;s__uncultured_Bacteroidetes	-0.2607253032062747	0.8171407433995123	0.4787447237961396	0.32398341588861	0.48042866675112905	0.6030911074445344	-0.8047489174443289	1.7008575881314059	0.7938182438549206	0.42096458487930155	0.08896973232211176	0.42730125020473486	1	1	1	FALSE	FALSE	FALSE	0.26490183489363356	0	0.06359357500861887	0	0	0.06359357500861886	0.21451012657445864
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__dgA-11_gut_group;s__uncultured_bacterium	0.9373158441976359	-1.9416545347146126	-0.4431358872716274	0.49485859846624114	0.7330713988342785	0.9164747287490705	1.894108432394105	-2.6486567854130016	-0.4835222111104794	0.05821061869942319	0.008081235497048485	0.628724992916285	1	1	1	FALSE	FALSE	FALSE	0.14326713891865472	0	0.03595263721588541	0.22007302879650192	0	0.035952637215885416	0.17867468003710982
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__gut_metagenome	1.1934993916916257	-2.1625880163498117	-1.3782554917814254	0.6010427711691417	0.8900831206257429	1.1113156493275302	1.9857145763021888	-2.4296472612911444	-1.240201640834828	0.047065025564536955	0.015113523822289244	0.21490082165747207	1	1	1	FALSE	FALSE	FALSE	0.1309753144894224	0	0.016550774542599143	0.12488421529927098	0	0.016550774542599185	0.047381316233975936
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__uncultured;g__uncultured;s__bacterium_episymbiont	0.443427713854307	-0.5164832277976538	-0.6388298005101538	0.3516048607510915	0.5212655607041348	0.653736161293022	1.2611535372607345	-0.990825534493357	-0.9771982006420067	0.2072535348865496	0.32177077858176606	0.328471038650304	1	1	1	FALSE	FALSE	FALSE	0.10668692094652552	0.07436746966306736	0.07855511628994065	0.011650525907472504	0.07436746966306737	0.07855511628994064	0.08745618320874884
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__PS1_clade;g__PS1_clade;__	-0.06526475419129035	-0.10799672128148768	1.2784192022025993	0.3520168901848853	0.521874728062374	0.6544916513700028	-0.18540233724868196	-0.20693993304190045	1.9533010077769082	0.8529134753428385	0.836056769408811	0.05078393816176188	1	1	1	FALSE	FALSE	FALSE	0.15679666280585325	0.06764825929922841	0	0	0.06764825929922841	0	0
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Kaiserbacteria;f__Candidatus_Kaiserbacteria;g__Candidatus_Kaiserbacteria;s__uncultured_organism	-0.8025601754602272	0.7093134094535608	3.606761830053037	0.42407576231962196	0.6284133153565651	0.7866342599837478	-1.8924924430256522	1.1287370781618347	4.5850556141904555	0.05842539957284236	0.259008763010002	4.538656122061702e-6	1	1	0.003381298810935968	FALSE	FALSE	TRUE	0	0.28066269764054147	0	0	0.2806626976405415	0	0
d__Bacteria;p__Planctomycetota;c__OM190;o__OM190;f__OM190;g__OM190;s__uncultured_planctomycete	-0.13170277800536595	0.4751011494996662	0.4693278386409478	0.45948899289915296	0.6807738599855229	0.8515898434619475	-0.28662879860164925	0.6978839485842914	0.55111958209013	0.7743965611459707	0.4852497734176242	0.5815517025198098	1	1	1	FALSE	FALSE	FALSE	0.13359913967463166	0.12175995323948428	0.0804767801422251	0.09613629840937583	0.12175995323948426	0.0804767801422251	0.004255792635524281
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Coxiellales;f__Coxiellaceae;g__Coxiella;s__uncultured_bacterium	-0.5674760312317564	0.037287878793165974	3.6872356161457964	0.3253132671060206	0.482394779962674	0.6055294236690072	-1.7443986723320883	0.0772974342633873	6.089275718104993	0.08108959636331893	0.9383869319635432	1.134226373419257e-9	1	1	8.574751383049583e-7	FALSE	FALSE	TRUE	0	0.28494871742685685	0	0	0.28494871742685685	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus;__	0.5960973022858456	-0.7560203756433069	-0.9803545426383661	0.48111161962047316	0.7127449299121223	0.8912550880093114	1.2390000115899908	-1.0607165956782327	-1.0999707668744594	0.21534549377428203	0.2888187156295183	0.27134485909763495	1	1	1	FALSE	FALSE	FALSE	0.08939202436863244	0.06695731478623643	0.020800619259975017	0.0398007858700415	0.06695731478623644	0.020800619259975006	0.02333027760197288
d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Melioribacteraceae;g__IheB3-7;s__uncultured_bacterium	0.0715763758956163	0.15463494669530173	0.01763479203189721	0.1985560485545303	0.29492551872074646	0.3727077583903265	0.36048448997996135	0.5243186393840662	0.047315333890712255	0.7184848532895098	0.6000569347222491	0.9622619070926384	1	1	1	FALSE	FALSE	FALSE	0.29147103028852256	0.8435874860936948	0.009842921549767354	0.7817819211884373	0.8435874860936949	0.009842921549767354	0.5866621403809943
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;__	-0.08557971254273569	0.5416092278795418	0.08840020501955935	0.72525812299257	1.0737680712066875	1.339311582994251	-0.11799897144152693	0.5044005706659613	0.06600421152330078	0.9060684728606223	0.6139799171148412	0.9473744724579907	1	1	1	FALSE	FALSE	FALSE	0.006997084539293771	0.005648479330687512	0.017950435092983896	0.008239923165348691	0.0056484793306875065	0.017950435092983896	0.03446815860765894
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Coxiellales;f__Coxiellaceae;g__Coxiella;__	-0.4207455837810158	0.25767611079451397	2.4577829970953697	0.27737908370807257	0.4115252949024513	0.5176319885751943	-1.5168612505181869	0.6261489001680783	4.748128112909964	0.1293017187462254	0.5312172805415356	2.0530797724418837e-6	1	1	0.0015336505900140872	FALSE	FALSE	TRUE	0	0.7232901137839339	0	0	0.7232901137839339	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured;s__uncultured_bacterium	-0.3894031472051243	1.4803963043894153	-0.15612298668984975	0.6144292510731779	0.9098780456085118	1.1358832877861806	-0.6337640119264875	1.6270271730749917	-0.1374463277773292	0.5262348427678429	0.10373132677166254	0.8906780142237245	1	1	1	FALSE	FALSE	FALSE	0.10616752247569235	0.01855257286006069	0.1013629696831788	0.09575388325638766	0.01855257286006069	0.1013629696831788	0.27602504258874216
d__Bacteria;p__Bacteroidota;c__Bacteroidia;__;__;__;__	-0.09176296463644935	0.13867257157142562	0.9275084976395029	0.38320980631642115	0.5679925314663581	0.7116892009862149	-0.23945881113668455	0.24414506157928087	1.303249362719315	0.8107498314223276	0.8071184741554362	0.19248964256999748	1	1	1	FALSE	FALSE	FALSE	0.10346363679321267	0.0932510501839685	0.1322489291498544	0.12296518268357744	0.09325105018396848	0.1322489291498544	0.2198915514245952
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__;__	1.2577176497986173	-1.165727050273857	-3.717150561258411	0.5337648500186305	0.7905998052945968	0.9878573837057146	2.3563141142672057	-1.474484362969807	-3.7628412993324956	0.01845730276750982	0.14035122486149856	1.6799381395890588e-4	1	1	0.12112353986437115	FALSE	FALSE	FALSE	0.2964153849556395	0.22491014625431233	0	0	0.22491014625431235	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;__;__	-0.16444165155155355	0.08391020806476662	1.4276811668215068	0.5197527880093715	0.7698808063571477	0.9621478430013805	-0.31638435684271604	0.10899116768711944	1.4838480148413724	0.7517107890506283	0.9132094957656892	0.13784924577935917	1	1	1	FALSE	FALSE	FALSE	0.04378224383085862	0.05760087324894306	0.03545963115607846	0.058290364694003706	0.057600873248943064	0.03545963115607834	0.1197492269803132
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella;s__uncultured_bacterium	0.9661106423451202	-1.8430139791594737	-0.7951890384246333	0.4998517330891627	0.7404543670063024	0.9256352508442348	1.9327944236071841	-2.4890311426089364	-0.859073849768981	0.053261527575235834	0.012809174492577501	0.3902997736060689	1	1	1	FALSE	FALSE	FALSE	0.18468371062885694	0	0.05150483263848025	0.16675373188355744	0	0.05150483263848023	0.0373693239045958
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__uncultured;s__uncultured_bacterium	-0.4543105417176269	0.18071558228671852	2.792115703020246	0.4495968510055971	0.6661475910080639	0.833444533289348	-1.0104842609584272	0.2712845992781364	3.3500918075503217	0.3122633362925474	0.7861721504892839	8.078477999092602e-4	1	1	0.571148394535847	FALSE	FALSE	FALSE	0.2781702450541065	0.29774998114657886	0	0	0.29774998114657886	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae;__;__	-0.7300644927085136	1.3125937940198908	2.010536766129915	0.5111673915689375	0.7571860692150013	0.9463958432639452	-1.4282297829439203	1.733515508784648	2.1244141977588824	0.153225730821388	0.08300408340007369	0.033635523824003526	1	1	1	FALSE	FALSE	FALSE	0.16159629741487927	0.030585185953849837	0	0	0.030585185953849785	0	0.15233569485611356
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__Kiloniellaceae;g__Kiloniella;s__uncultured_bacterium	0.33557946565984653	-0.3563480254760265	-0.37941587110818364	0.47456255131611585	0.7030614641473074	0.8792409067259404	0.7071343171288502	-0.5068518808781752	-0.4315266364494204	0.47948301170841356	0.6122587507449975	0.6660854891648031	1	1	1	FALSE	FALSE	FALSE	0.19370400291463138	0.1585297422554133	0.09424629496278396	0.06178400044797805	0.1585297422554133	0.09424629496278396	0.032993470078920104
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured;s__uncultured_Sphingobacteriia	0.20858135983006978	-0.1343869871376289	-0.14072312894992883	0.38193181761843414	0.5661030430169267	0.7093456674440328	0.5461219783433997	-0.23738962154564971	-0.19838442018965577	0.5849820929631337	0.8123545404585976	0.8427443060886954	1	1	1	FALSE	FALSE	FALSE	0.12452831494088668	0.04579704750567867	0.026068085472372406	0.01458814560908704	0.04579704750567867	0.026068085472372406	0.00691248934994723
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas;__	-0.5063295888082671	1.386108159201241	0.6609329273033887	0.6255639480264705	0.926343303782176	1.156318960518489	-0.8093970095393699	1.4963223175920706	0.5715835767382288	0.41828682177726834	0.1345696820418486	0.5676041243914353	1	1	1	FALSE	FALSE	FALSE	0.04184804502982355	0.09541962424202888	0.051153298752191385	0.0724114640882003	0.09541962424202885	0.05115329875219137	0.0034641941027428284
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__uncultured;s__uncultured_bacterium	-0.2308526798177531	0.4252543612912308	1.1019521372993994	0.3200493412995044	0.4746123477562764	0.5958778654579282	-0.7213034055324599	0.8960035770278948	1.8492919458462458	0.4707228621542442	0.3702508527949346	0.06441566811786145	1	1	1	FALSE	FALSE	FALSE	0.28513580274570377	0.2717919453944383	0	0.13921417411772033	0.2717919453944383	0	0.1520164035922469
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;__	1.0185270284840446	-1.665139594180516	-1.432675883879269	0.39149307701522507	0.5802392775754283	0.7268790733333582	2.60164761085784	-2.869746427953692	-1.9709961896539856	0.009277712904507634	0.0041080108960968335	0.04872431165255523	1	1	1	FALSE	FALSE	FALSE	0	0	0	0	0	0	0.08211889597152622
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;__	1.018657269162083	-1.1642435767666888	-2.435167962351381	0.5834858905783796	0.8641215307657544	1.0790955789640082	1.7458130275478303	-1.3473146256811548	-2.2566749506000923	0.08084344647994694	0.17787892362060073	0.024028393193714675	1	1	1	FALSE	FALSE	FALSE	0.28512855472656984	0.24963497214393707	0.25178477940763644	0.2606700003648591	0.24963497214393707	0.25178477940763644	0.0262702120532218
