Observed features.SampleSite	Observed features.count	Observed features.mean	Observed features.sd	Observed features.median	Observed features.IQR	Faith PD.SampleSite	Faith PD.count	Faith PD.mean	Faith PD.sd	Faith PD.median	Faith PD.IQR	Shannon entropy.SampleSite	Shannon entropy.count	Shannon entropy.mean	Shannon entropy.sd	Shannon entropy.median	Shannon entropy.IQR	Pielou evenness.SampleSite	Pielou evenness.count	Pielou evenness.mean	Pielou evenness.sd	Pielou evenness.median	Pielou evenness.IQR
CLOACA	19	423.1578947368421	290.6237092029437	509	372	CLOACA	19	60.030275440389865	37.64430999581733	66.57742307651313	51.74855262403432	CLOACA	19	6.939458467016386	1.7728822776414626	6.764495620640008	2.580085305217989	CLOACA	19	0.8252812201882035	0.1453088908789322	0.841743260575008	0.15254402526233624
TANK WATER	8	662.375	106.43567809446498	673.5	97.75	TANK WATER	8	93.82713713353947	18.423005447351755	98.0118010078242	10.489671746871707	TANK WATER	8	8.115836596878959	1.0282999023644472	8.657690378405508	1.3084977108710536	TANK WATER	8	0.8671347053413198	0.10453004523774877	0.9201161622883902	0.15561283450360242
NA	1	1128	NA	1128	0	NA	1	166.8498142784915	NA	166.8498142784915	0	NA	1	8.860800211898034	NA	8.860800211898034	0	NA	1	0.8738848400626488	NA	0.8738848400626488	0
