# Constructed from biom file
#OTU ID	16S0064C	16S0064W	16S0073C	16S0073O	16S0073W	16S0074C	16S0074O	16S0084C	16S0084W	16S0087C	16S0087O	16S0088C	16S0088O	16S0089C	16S0089O	16S0090C	16S0090O	16S0092C	16S0093C	16S0093O	16S0093W	16S0094C	16S0113O	16S0117C	16S0117O	16S0117W	16S0118C	16S0119O	16S0119W	16S0120C	16S0120O	16S0120W	16S0123C	16S0123O	16S0123W	16S0141C	16S0141O	16S0142C	16S0142O	16S0143C	16S0143O	16S0146C	16S0146O	TB159	TB167	TB175	TB215	TB217	TB219	TB115	TB117	TB119	TB139	TB145	TB149	TB151	TB155	TB157
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia	0.0	316.0	0.0	0.0	143.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	289.0	0.0	0.0	0.0	13.0	15.0	4.0	0.0	21.0	0.0	0.0	17.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	24.0	2.0	0.0	14.0	0.0	0.0	2.0	64.0	45.0
d__Bacteria;p__Planctomycetota;c__Planctomycetes	0.0	171.0	0.0	45.0	157.0	0.0	45.0	0.0	480.0	0.0	17.0	23.0	0.0	0.0	18.0	5.0	17.0	0.0	45.0	90.0	26.0	0.0	2685.0	0.0	0.0	140.0	174.0	9184.0	26.0	2.0	180.0	6.0	4.0	43.0	2.0	0.0	419.0	11.0	0.0	0.0	152.0	4.0	16.0	1123.0	5586.0	72.0	10438.0	253.0	954.0	2710.0	1521.0	207.0	2110.0	94.0	211.0	289.0	511.0	2.0
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia	534.0	153.0	0.0	0.0	267.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	12.0	13.0	0.0	3.0	247.0	261.0	0.0	108.0	0.0	0.0	10.0	89.0	693.0	0.0	70.0	1878.0	9.0	225.0	19.0	16.0	0.0	399.0	75.0	0.0	0.0	0.0	39.0	0.0	19.0	18.0	19.0	208.0	11.0	14.0	1589.0	76.0	63.0	4119.0	66.0	64.0	80.0	592.0	106.0
d__Bacteria;p__Myxococcota;c__Myxococcia	0.0	20.0	0.0	0.0	2.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	295.0	0.0	0.0	0.0	495.0	0.0	0.0	0.0	0.0	2589.0	0.0	0.0	255.0	0.0	5.0	89.0	0.0	0.0	1697.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	7.0	67.0	4.0	26.0	147.0	4.0	9.0	27.0	0.0	5.0	90.0	51.0	3.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia	140.0	149.0	1221.0	118.0	12.0	37596.0	0.0	155.0	0.0	9904.0	490.0	0.0	0.0	70.0	234.0	0.0	0.0	3360.0	4.0	3237.0	19.0	163.0	112.0	3261.0	119.0	115.0	0.0	7.0	6.0	6616.0	2.0	289.0	231.0	27.0	37.0	5947.0	0.0	892.0	5.0	107.0	348.0	10785.0	0.0	2908.0	0.0	131.0	0.0	0.0	54.0	16.0	427.0	7.0	10.0	744.0	69.0	106.0	109.0	0.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia	3.0	5.0	0.0	0.0	11.0	0.0	0.0	4.0	275.0	0.0	0.0	0.0	0.0	0.0	4.0	19.0	3.0	0.0	0.0	195.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	28.0	18.0	73.0	41.0	94.0	3.0	0.0	3.0	0.0	0.0	144.0	0.0	7.0	0.0	4.0	0.0	821.0	2.0	1257.0	1961.0	1349.0	3863.0	638.0	51.0	376.0	12660.0	167.0	53.0	14916.0	673.0	20.0
d__Bacteria;p__Planctomycetota;c__Pla3_lineage	0.0	36.0	0.0	0.0	57.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	18.0	0.0	0.0	0.0	0.0	3.0	9.0	829.0	0.0	0.0	14.0	0.0	0.0	94.0	0.0	0.0	175.0	8.0	2.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	199.0	32.0	0.0	9.0	0.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria	984.0	808.0	56.0	99.0	2734.0	896.0	270.0	1018.0	330.0	0.0	334.0	232.0	1924.0	478.0	456.0	137.0	2152.0	85.0	816.0	1178.0	232.0	92.0	1398.0	7.0	5352.0	94.0	265.0	12397.0	14.0	761.0	5904.0	29.0	1838.0	5763.0	104.0	663.0	1260.0	1322.0	138.0	535.0	53.0	248.0	237.0	1114.0	229.0	1253.0	212.0	2569.0	786.0	50.0	28.0	44.0	105.0	220.0	380.0	166.0	40.0	4.0
d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae	131.0	1049.0	0.0	0.0	564.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	107.0	9.0	348.0	0.0	3.0	0.0	0.0	6923.0	8.0	1170.0	2.0	0.0	24.0	0.0	0.0	86.0	2.0	0.0	44.0	105.0	70.0	0.0	7.0	0.0	0.0	3.0	7.0	0.0	76.0	481.0	30.0	61.0	0.0	0.0	75.0	0.0	51.0	14.0	73.0	12.0
d__Bacteria;p__SAR324_clade(Marine_group_B);c__SAR324_clade(Marine_group_B)	0.0	170.0	0.0	0.0	68.0	0.0	0.0	0.0	369.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	2.0	0.0	229.0	12.0	0.0	0.0	30.0	0.0	24.0	13.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	2.0	22.0	0.0	43.0	100.0	5.0	6.0	56.0	0.0	0.0	63.0	0.0	0.0	13.0	3.0	0.0
d__Bacteria;p__Patescibacteria;c__Gracilibacteria	3448.0	1048.0	0.0	4.0	617.0	8.0	17.0	0.0	82.0	0.0	0.0	20.0	6.0	0.0	18.0	118.0	557.0	0.0	557.0	1415.0	716.0	297.0	1376.0	0.0	215.0	593.0	0.0	5476.0	63.0	15.0	307.0	19.0	510.0	869.0	148.0	21.0	400.0	134.0	249.0	45.0	5.0	88.0	739.0	20.0	7.0	33.0	439.0	273.0	242.0	95.0	70.0	34.0	36.0	18.0	23.0	36.0	388.0	26555.0
d__Bacteria;p__Chloroflexi;c__Anaerolineae	44.0	0.0	0.0	2.0	24.0	0.0	11.0	0.0	2.0	0.0	0.0	3.0	3.0	0.0	13.0	0.0	87.0	0.0	23.0	14.0	4.0	8.0	183.0	0.0	0.0	29.0	39.0	489.0	2.0	0.0	195.0	4.0	0.0	230.0	0.0	0.0	118.0	0.0	8.0	0.0	22.0	0.0	54.0	130.0	114.0	87.0	336.0	30.0	131.0	2147.0	61.0	107.0	420.0	40.0	66.0	607.0	514.0	25.0
d__Bacteria;p__Dadabacteria;c__Dadabacteriia	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	757.0	0.0	0.0	5.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia	660.0	219.0	3075.0	8.0	0.0	26.0	80.0	0.0	0.0	971.0	55.0	0.0	0.0	8.0	117.0	0.0	0.0	112.0	0.0	416.0	0.0	846.0	61.0	444.0	26.0	0.0	0.0	0.0	0.0	216.0	0.0	19.0	90.0	0.0	0.0	65.0	6.0	354.0	0.0	506.0	55.0	0.0	0.0	78.0	66.0	324.0	0.0	0.0	6.0	221.0	318.0	13.0	147.0	724.0	807.0	273.0	4185.0	0.0
