Observed features.SampleSite	Observed features.count	Observed features.mean	Observed features.sd	Observed features.median	Observed features.IQR	Faith PD.SampleSite	Faith PD.count	Faith PD.mean	Faith PD.sd	Faith PD.median	Faith PD.IQR	Shannon entropy.SampleSite	Shannon entropy.count	Shannon entropy.mean	Shannon entropy.sd	Shannon entropy.median	Shannon entropy.IQR	Pielou evenness.SampleSite	Pielou evenness.count	Pielou evenness.mean	Pielou evenness.sd	Pielou evenness.median	Pielou evenness.IQR
CLOACA	19	254.68421052631578	126.3443498413843	249	194.5	CLOACA	19	23.2517807915442	9.73475663217654	23.5157812382261	16.041819960387258	CLOACA	19	5.164523615990427	1.10470456567222	5.18424199367217	1.7137469736002782	CLOACA	19	0.6558032045929034	0.09109980308709542	0.683120836793496	0.1475097907567715
ORAL	16	469.8125	272.8951492789859	383	338	ORAL	16	36.17347384654598	14.18856267371213	32.096306128889836	18.058744847499568	ORAL	16	5.988471837274213	1.0587342091429344	5.8068648715292674	1.6797181806221335	ORAL	16	0.6872124436806345	0.07537771192142573	0.7088667181092463	0.12354033891523508
CARAPACE	15	805.2666666666667	492.9800730059506	732	419.5	CARAPACE	15	54.70869286790265	24.314092162975207	45.7480393129437	25.190664433596794	CARAPACE	15	6.411505069033965	1.4699155326740632	5.94072659053335	2.2237302115596	CARAPACE	15	0.6732523639288832	0.11081023872863212	0.6555822486443563	0.18535216619864414
TANK WATER	8	486.25	261.35621559199893	456.5	382	TANK WATER	8	45.086532390037675	23.192047055998508	32.36544674677201	34.73007238128483	TANK WATER	8	4.944857721966655	1.0036014319515623	4.941775709499984	1.6686462897865724	TANK WATER	8	0.5617117806693931	0.06920014667631509	0.5671208803070622	0.13171641931599637
