taxon	W	p_val	q_val	diff_abn	(Intercept)	SampleSiteCLOACA	SampleSiteORAL	SampleSiteTANK WATER	global	CARAPACE - CLOACA	CARAPACE - ORAL	CARAPACE - TANK WATER	CLOACA - ORAL	CLOACA - TANK WATER	ORAL - TANK WATER	structural_zero (SampleSite = CARAPACE)	structural_zero (SampleSite = CLOACA)	structural_zero (SampleSite = ORAL)	structural_zero (SampleSite = TANK WATER)
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__uncultured;g__uncultured	3.657798959077193	0.6017307827460217	1	FALSE	0.37358808906066243	0.4248093377086396	0.36339043145923416	0.005317312278942382	0.29529329286731437	0.4248093377086396	0.3633904314592341	0.005317312278942373	0.03988496625498207	0.1391260213446914	0.16076211984906089	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Guggenheimella	23.936881906587743	5.149899397263827e-5	0.018694134812067692	TRUE	0	0	0	0.05130039173749845	0	0	0	0.05130039173749845	0.23785882441698478	0	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__	13.994757615621157	0.005824594494620573	1	FALSE	0	0	0.0248740949803841	0.057514989275009316	0	0	0.024874094980384124	0.05751498927500933	0	0	0.05809497998731403	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Rhodopirellula	22.596871614173814	9.800009808435609e-5	0.03518203521228384	TRUE	0	0	0	0	0	0	0	0	0	0.5308416622381857	0.030773621991237496	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae;g__uncultured	4.387870400001212	0.4450254433455158	1	FALSE	0.16162845553437655	0.3864441104864885	0.13290913494074963	0.004683415764454296	0.2848861412636817	0.3864441104864886	0.1329091349407496	0.004683415764454296	0.2813905722295375	0.27833699508416426	0.09580724640793896	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__0319-6G20;f__0319-6G20;g__0319-6G20	6.521905090227353	0.17760522579679552	1	FALSE	0.5435056560960901	0.38414902937306766	0.10113741154867441	0	0.5425123259318971	0.38414902937306766	0.10113741154867441	0	0.18717833076728907	0	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__Lentimonas	23.217551875266047	7.275701416270743e-5	0.026265282112737383	TRUE	0	0	0	0	0	0	0	0	0.14302225365496526	0.13701661688400846	0.009538010780748452	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Tenacibaculum	3.445030136808217	0.6559236411985384	1	FALSE	0.22014002677259265	0.22067171458748328	0.17105805501063398	0.05727788365698415	0.143853795922793	0.22067171458748328	0.17105805501063398	0.057277883656984135	0.06044421247716052	0.04381462925782659	0.03176929629892669	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__P3OB-42	4.765721445975765	0.3795564830014151	1	FALSE	0.8674064670255163	0	0.40945216438695875	0.5287345111568525	0	0	0.40945216438695875	0.5287345111568527	0	0.06074956142122798	0.20815817084584268	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__uncultured	5.358170305234146	0.294744064278542	1	FALSE	0.2651178651081111	0.3044796215380659	0.18881540691860468	0.16211552037318205	0.10015543727208027	0.3044796215380659	0.18881540691860466	0.16211552037318205	0.12867433290309221	0.08933598948850663	0	FALSE	FALSE	FALSE	FALSE
