taxon	W	p_val	q_val	diff_abn	(Intercept)	SampleSiteCLOACA	SampleSiteORAL	SampleSiteTANK WATER	global	CARAPACE - CLOACA	CARAPACE - ORAL	CARAPACE - TANK WATER	CLOACA - ORAL	CLOACA - TANK WATER	ORAL - TANK WATER	structural_zero (SampleSite = CARAPACE)	structural_zero (SampleSite = CLOACA)	structural_zero (SampleSite = ORAL)	structural_zero (SampleSite = TANK WATER)
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae;g__uncultured;__	8.100334594284124	0.08796594322600372	1	FALSE	0.04817229827064575	0.042370404837076735	0.01812007179515961	0.02741910140578515	0	0.04237040483707675	0.018120071795159613	0.027419101405785046	0.021503483068629065	0	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__Lentimonas;s__uncultured_bacterium	20.763237396565984	2.3578589651877243e-4	0.10445315215781618	FALSE	0	0	0	0	0	0	0	0	0.12666173306232276	0.1533702300093148	0.03613302761911731	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Tenacibaculum;s__uncultured_bacterium	20.70599681987806	2.423253361201126e-4	0.10686547322896967	FALSE	0	0	0	0.022336184866737798	0	0	0	0.02233618486673779	0.0032602434030942515	0	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured;s__uncultured_Bacteroidetes	2.0839643337655116	0.8896726122040106	1	FALSE	0.19079091481309465	0.12894750348183628	0.17261012942132858	0.1322181660162826	0.046692104213536575	0.12894750348183628	0.17261012942132858	0.13221816601628258	0.012290416822753024	0.02384347764336637	0.01008179004082951	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__uncultured;g__uncultured;s__uncultured_bacterium	10.905393427821691	0.02449720962851561	1	FALSE	0	0.5216719282839011	0	0.09088966338347473	0	0.521671928283901	0	0.09088966338347469	0.12719279949166198	0.14207041124582265	0.12450220670023376	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;__	1.939445771233004	0.8298608196515939	1	FALSE	0.001062426866771346	0.009241867421814405	0.021413237920972827	0.15010180098705353	0.08267611972367861	0.009241867421814402	0.02141323792097282	0.15010180098705359	0.01494780610185815	0.1894457131443168	0.14574236115458641	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Aureispira;s__uncultured_bacterium	0.14873671405299507	0.02918636081387883	1	FALSE	0.07598614847786592	0.09790110319168337	0.05104982849106648	0.08881565594011952	0.003017095676975399	0.09790110319168337	0.05104982849106647	0.0888156559401195	0.03566450233431604	0.03374126646976629	0.0651443382816571	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Pir4_lineage;s__uncultured_bacterium	17.54564070656988	0.0010914009787577961	0.46711961890833675	FALSE	0	0	0	0	0	0	0	0	0.36314529807520435	0.1620243443672052	0.008106126016515265	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae;g__Marinobacterium;s__uncultured_Marinobacterium	2.0436970102103853	0.8732261221995188	1	FALSE	0.10092770241861093	0.07733472771232469	0.06702307298072707	0.08380953334174034	0.006953484583253776	0.07733472771232468	0.06702307298072707	0.08380953334174034	0.03532152992799972	0.025583764098828315	0.07597454858139127	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Planctomycetota;c__OM190;o__OM190;f__OM190;g__OM190;s__uncultured_bacterium	4.883568654225335	0.3610481303800907	1	FALSE	0.05236453582424389	0	0.013128293917879919	0.11222058900335286	0.09855921558835712	0	0.013128293917879924	0.11222058900335286	0.044864918227744056	0.20138222879756332	0.09196228987051419	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Colwellia;__	11.036922488096886	0.023055775914552695	1	FALSE	0.0017523373786005316	0.12412906964846773	0.004805200642701296	0	0	0.12412906964846775	0.0048052006427013235	0	0.08598242271227727	0	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;__	7.099093597087619	0.13761100301336282	1	FALSE	0.16308598501479996	0.10306021199537187	0.30425018731689374	0.02732058660192142	0.24108540241988388	0.10306021199537188	0.30425018731689374	0.027320586601921455	0	0.10556760546756465	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__P3OB-42;s__uncultured_delta	7.6568597787083945	0.10732423674799327	1	FALSE	0.4139823724135772	0.24818147117812137	0	0.03609663257358124	0	0.2481814711781214	0	0.03609663257358125	0	0.1173278542765144	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Maritimimonas;s__uncultured_marine	4.331028359713584	0.4557329974131081	1	FALSE	0.5273885065138952	0.646909727607193	0.11715438766807482	0.18731863943772575	0.49850741459424	0.646909727607193	0.11715438766807479	0.18731863943772575	0.33040752736050305	0.06634206755964205	0.03801355193140941	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__uncultured;g__uncultured;s__uncultured_bacterium	6.344350188541566	0.19201452039372346	1	FALSE	0.1089370419002108	0	0.0168395068456619	0.04395411030404923	0	0	0.016839506845661906	0.04395411030404924	0	0	0.06064223507070923	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;__	2.256869449324339	0.9583322175573501	1	FALSE	0.008378658899720554	0.033846771724698764	0.020414012051297847	0.14286821186059057	0.08428531516558511	0.03384677172469875	0.020414012051297847	0.14286821186059054	0.006065309434547221	0.13759493066582235	0.13902643190664704	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;__;__	23.811135636198028	5.470739115415721e-5	0.024673033410524903	TRUE	0	0	0	0	0	0	0	0	0.02120430236639947	0.04744303204947123	0.07812674030556875	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Spongiibacteraceae;g__BD1-7_clade;s__uncultured_bacterium	8.205160814452967	0.08391317202540677	1	FALSE	0.2542939240629168	0.2473361785884805	0.13315647847794881	0	0	0.24733617858848048	0.1331564784779488	0	0.027218342637611123	0.09265937153998709	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;__;__	1.680034266747291	0.7172365605668201	1	FALSE	0.04454419363299797	0.10786965728947252	0.021866789183825362	0.00596545056549744	0.08453692453868641	0.10786965728947256	0.02186678918382536	0.00596545056549744	0.08267602060402598	0.08538211051089437	0.026320603719124144	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__OM182_clade;f__OM182_clade;g__OM182_clade;s__uncultured_bacterium	0.2506741146132186	0.061956643837690464	1	FALSE	0.10745511451438373	0.13597836681661707	0.03689068569116001	0.01887618336011526	0.08089014331992121	0.13597836681661704	0.03689068569116001	0.01887618336011526	0.08959787862006606	0.1650953934380571	0.05684165028258935	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Planctomycetota;c__OM190;o__OM190;f__OM190;g__OM190;__	3.0742596431081233	0.7606338185381274	1	FALSE	0.34175178676828066	0	0.1777861791386558	0.02929029363221251	0.44095344332755004	0	0.17778617913865577	0.02929029363221252	0.14457245694165083	0.2751858243965015	0.10036333550003065	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__JGI_0000069-P22;f__JGI_0000069-P22;g__JGI_0000069-P22;s__uncultured_bacterium	5.254283694323611	0.30819302378571006	1	FALSE	0.36493325244408154	0.7090236275729566	0.29609503281108646	0.23346656044534853	0	0.7090236275729567	0.29609503281108646	0.2334665604453485	0.15611591427894447	0	0.07407077846726705	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oleiphilaceae;g__Oleiphilus;__	13.96206332502171	0.005914496986002498	1	FALSE	0.06983454448203273	0	0	0.04994199609398438	0	0	0	0.049941996093984434	0.0939789922603393	0	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Winogradskyella;__	2.2016928539038396	0.9367699824860187	1	FALSE	0.07777734203071544	0.0288834327385895	0.16559837075717376	0.06374582357028212	0.08290983218399316	0.0288834327385895	0.16559837075717374	0.06374582357028216	0.11023733562053703	0.10160599950996169	0.14527517654669994	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Muricauda;__	4.460540280749285	0.4316742515922652	1	FALSE	0.14265948894062672	0.23619661142034934	0.06300073128952283	0.02991405351195556	0.08688939879568071	0.2361966114203493	0.0630007312895228	0.02991405351195556	0.09135018770933068	0.0790355579538183	0.042156477382659596	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Rubritaleaceae;g__Persicirhabdus;s__uncultured_bacterium	1.1806932153256051	0.4847229949026654	1	FALSE	0.2747951342777641	0.18373582222492524	0.15984971145955282	0.038718699203909045	0.0630316246617244	0.18373582222492524	0.1598497114595528	0.038718699203909045	0.08767363445206407	0.049334648387377084	0.008923710328835788	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Woeseiaceae;g__Woeseia;__	2.6944554763054014	0.8823407011156493	1	FALSE	0.02259705219453612	0.026260822696230725	0.15789837936498005	0.08091904387579947	0.0604158510268735	0.026260822696230736	0.15789837936498	0.08091904387579947	0.07709732391055817	0.10307994538506761	0.03896706933283294	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Blastopirellula;__	17.988794228564007	8.843930268704526e-4	0.3802890015542946	FALSE	0	0	0	0	0	0	0	0	0.2094094413838483	0.21344630100291243	0.14762741019403613	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales;f__Chlamydiaceae;g__uncultured;s__uncultured_organism	1.5880244209241863	0.6757835195787284	1	FALSE	0.32020494344835937	0.24822376446545102	0.16847522737705764	0.27658941790052194	0.04941452525217314	0.24822376446545102	0.16847522737705764	0.276589417900522	0.05591163922633854	0.18911600611415164	0.029760664155352234	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__;__	2.062370409565676	0.8808741691917537	1	FALSE	0.10441900496836974	0.18310445023174254	0.09382012021377337	0.1442896260748534	0.023204483095380403	0.18310445023174254	0.09382012021377338	0.14428962607485338	0.016812852017173384	0.14899561587707033	0.24559284011248295	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Rubritaleaceae;g__Rubritalea;s__uncultured_bacterium	9.072591321342975	0.05668230683209076	1	FALSE	0.3024598578069092	0.6670295578648491	0.4557634771281939	0.29009839944065446	0	0.6670295578648491	0.4557634771281939	0.2900983994406545	0	0.030190653875022993	0	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Rheinheimera;__	6.472239224939911	0.18152754630850113	1	FALSE	0.11333220649594906	0.08242939775653986	0.07939485501930521	0	0.07783610216933985	0.08242939775653983	0.0793948550193052	0	0.0021540589234208423	0.006671809717857276	0.009978599459436846	FALSE	FALSE	FALSE	FALSE
