# Constructed from biom file
#OTU ID	16S0064C	16S0073C	16S0074C	16S0084C	16S0087C	16S0088C	16S0089C	16S0090C	16S0092C	16S0093C	16S0094C	16S0113C	16S0117C	16S0118C	16S0119C	16S0120C	16S0123C	16S0141C	16S0142C	16S0143C	16S0146C
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__uncultured;g__uncultured;s__bacterium_episymbiont	81.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	26.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__PS1_clade;g__PS1_clade;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Planctomycetota;c__OM190;o__OM190;f__OM190;g__OM190;s__uncultured_planctomycete	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	115.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus;__	0.0	2565.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	79.0	0.0	0.0	90.0	0.0	0.0	0.0	16.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured;s__uncultured_bacterium	118.0	4.0	2.0	37.0	0.0	26.0	4.0	160.0	0.0	3303.0	218.0	0.0	0.0	357.0	3.0	360.0	708.0	0.0	282.0	106.0	925.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__;__	887.0	1080.0	50.0	905.0	98.0	158.0	1846.0	374.0	55.0	288.0	25.0	0.0	0.0	0.0	0.0	486.0	1286.0	1759.0	813.0	3824.0	6.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;__;__	3430.0	419.0	89.0	20.0	42.0	5538.0	3853.0	446.0	133.0	8716.0	611.0	0.0	0.0	1212.0	0.0	611.0	1833.0	2792.0	1829.0	140.0	347.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella;s__uncultured_bacterium	62.0	836.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	56.0	4.0	7.0	0.0	20.0	1502.0	33.0	0.0	134.0	15.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Bernardetiaceae;g__Bernardetia;s__Bernardetia_litoralis	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__Kiloniellaceae;g__Kiloniella;s__uncultured_bacterium	146.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	232.0	0.0	0.0	0.0	0.0	283.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured;s__uncultured_Sphingobacteriia	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	5.0	3.0	8.0	0.0	0.0	64.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas;__	19.0	225.0	26489.0	0.0	114.0	10.0	2388.0	6475.0	1889.0	85.0	348.0	0.0	0.0	393.0	0.0	15.0	19.0	34.0	453.0	226.0	28.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;__	52.0	15.0	0.0	0.0	761.0	0.0	0.0	0.0	0.0	0.0	157.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	79.0	14.0	0.0
